"ID","sample_soil","sample","block","plot","year","Precipitation","Warm","warm","precip","clip","Clip","DNA.concentration","DNA.by.pcgreen","NO3.N","NH4.N","TN","TC","pH","FlTotl","FlC4","FlC3","root_biomass","plant.richness","moisture_samplingmonth","annual_moisture","precipitation_Oct_cm","precipitation_annual_cm","temperature_annual","ER_annualmean","GPP_annualmean","NEE_annualmean","Autotrophic","Heterotrophic","total_soil_respiration"
"1","16soil10N","10N2016","B2","N10",2016,"normal","warming",1,1,0,"uncliping",118.6,93.2,10.68,3.15,0.098,0.907,7.2,52.46909308,7.258821486,45.2102716,10.26827012,6,21.6,9.526190476,1.5,92.3544,19.50012437,1.877138779,3.420167619,1.54302884,1.39375,2.4075,3.80125
"2","16soil10S","10S2016","B2","S10",2016,"normal","warming",1,1,1,"Cliping",62.8,42.60283102,3.46,6.81,0.111,1.004,6.83,235.6281252,72.4681453,163.1599799,67.80758557,7,30.06666667,10.92380952,1.5,92.3544,19.17702322,2.939524471,5.239856793,2.300332322,1.10625,2.85875,3.965
"3","16soil11N","11N2016","B2","N11",2016,"half","unwarming",0,0.5,0,"uncliping",47.8,25.16848744,5.54,4.38,0.1,0.861,7.47,158.5485701,123.1866522,35.36191793,120.2590194,8,22.6,10.48333333,1.5,92.3544,17.5508007,2.652060063,4.17897207,1.526912006,2.53,3.195,5.725
"4","16soil11S","11S2016","B2","S11",2016,"half","unwarming",0,0.5,1,"Cliping",74.2,54.19610398,5.65,6.61,0.161,1.62,7.58,382.2910475,285.8293637,96.46168371,67.90009251,10,25.83333333,11.6047619,1.5,92.3544,17.5508007,3.462248044,4.914262402,1.452014358,1.286875,2.556875,3.84375
"5","16soil12N","12N2016","B2","N12",2016,"double","unwarming",0,2,0,"uncliping",63.3,NA,4.53,3.83,0.118,1.072,7.7,64.64042683,10.15715886,54.48326797,16.55874191,7,24,12.57619048,1.5,92.3544,16.86969932,3.504558608,4.804165449,1.267082219,1.581875,2.921875,4.50375
"6","16soil12S","12S2016","B2","S12",2016,"double","unwarming",0,2,1,"Cliping",72.2,32.3156527,3.02,5.51,0.096,0.861,7.04,232.2898828,208.3745061,23.9153767,90.00925069,7,28.53333333,15.34047619,1.5,92.3544,16.8720392,3.617613697,4.219784434,0.602170738,1.241875,3.01125,4.253125
"7","16soil13N","13N2016","B3","N13",2016,"half","unwarming",0,0.5,0,"uncliping",83.4,53.00850041,4.25,3.15,0.115,1.009,7.45,123.7129884,19.49435074,104.2186376,39.50046253,10,32,10.26666667,1.5,92.3544,17.4796073,1.998544804,4.121203782,2.271117007,1.185625,3.28875,4.474375
"8","16soil13S","13S2016","B3","S13",2016,"half","unwarming",0,0.5,1,"Cliping",58.7,NA,2.48,1.66,0.09,0.777,7.82,198.7682665,187.8386708,10.92959578,396.8547641,4,28.1,12.6452381,1.5,92.3544,17.39843229,3.576238199,5.142182291,1.565944092,3.039375,3.146875,6.18625
"9","16soil14N","14N2016","B3","N14",2016,"double","unwarming",0,2,0,"uncliping",54.9,51.43310792,1.62,1.7,0.091,0.705,7.68,272.0485423,262.2287668,9.819775543,65.12488437,5,30.76666667,15.43333333,1.5,92.3544,17.36520392,2.918539102,3.657439132,0.73890003,4.204375,3.18875,7.393125
"10","16soil14S","14S2016","B3","S14",2016,"double","unwarming",0,2,1,"Cliping",54.6,30.60561127,5.81,6.29,0.151,1.575,7.45,786.8986455,783.7495721,3.149073371,39.31544866,3,34.76666667,16.14523809,1.5,92.3544,17.79203596,5.885624388,4.116152589,-1.769471799,4.365625,4.905,9.270625
"11","16soil15N","15N2016","B3","N15",2016,"half","warming",1,0.5,0,"uncliping",33,40.11721176,10.15,7.68,0.088,0.791,6.83,103.294103,54.1599456,49.13415736,83.62627197,5,20.03333333,7.342857143,1.5,92.3544,19.41312674,8.167023922,4.040475628,0.343415291,2.694375,3.5025,6.196875
"12","16soil15S","15S2016","B3","S15",2016,"half","warming",1,0.5,1,"Cliping",42.9,NA,1.59,1.19,0.08,0.694,7.25,377.2346905,331.1615131,46.07317732,75.76318224,5,24.96666667,7.690476191,1.5,92.3544,19.42127238,4.762250913,6.925806988,1.889302953,1.744375,3.42,5.164375
"13","16soil16N","16N2016","B4","N16",2016,"normal","warming",1,1,0,"uncliping",95,74.09,18.29,3.86,0.097,0.9,6.6,88.81741672,80.6165616,8.200855121,56.70675301,5,21.86666667,9.46904762,1.5,92.3544,18.76885182,2.956108142,5.72256754,2.766459398,2.66,3.275625,5.935625
"14","16soil16S","16S2016","B4","S16",2016,"normal","warming",1,1,1,"Cliping",44.4,22.93062221,3.85,2.37,0.086,0.811,7.5,283.5619111,278.0040559,5.557855121,72.15541166,5,30.2,12.20238095,1.5,92.3544,18.67673717,4.997933373,4.733388716,-0.284942256,4.28125,3.015625,7.296875
"15","16soil17N","17N2016","B4","N17",2016,"double","unwarming",0,2,0,"uncliping",52,25.2869785,2.73,4.28,0.129,1.326,7.39,677.9112083,5.667529143,672.2436791,51.89639223,8,26.53333333,12.39047619,1.5,92.3544,17.4260072,4.650110007,5.962491547,1.418901286,-0.208125,4.0825,3.874375
"16","16soil17S","17S2016","B4","S17",2016,"double","unwarming",0,2,1,"Cliping",68.6,39.20429201,1.68,2.52,0.088,0.882,7.66,392.2861656,262.9878939,129.2982717,210.8233117,10,32.93333333,16.32619048,1.5,92.3544,17.67730548,7.270352883,7.111962666,-0.158390218,0.995,4.333125,5.328125
"17","16soil18N","18N2016","B4","N18",2016,"half","warming",1,0.5,0,"uncliping",49.4,29.32913941,7.65,1.44,0.074,0.862,7.01,92.69041424,72.308592,20.38182224,166.2349676,4,18.36666667,8.376190476,1.5,92.3544,18.37997215,3.200361532,4.727111023,1.52674949,3.471875,3.144375,6.61625
"18","16soil18S","18S2016","B4","S18",2016,"half","warming",1,0.5,1,"Cliping",80.3,41.2832715,0.01,2.54,0.079,0.72,7.01,217.934343,203.0143557,14.91998731,173.4505088,5,25.1,9.009523809,1.5,92.3544,19.42419309,4.071375817,4.352051493,-0.051989773,1.18875,4.773125,5.961875
"19","16soil19N","19N2016","B3","N19",2016,"normal","unwarming",0,1,0,"uncliping",65.4,41.1,0.41,5.63,0.091,0.884,7.53,145.2588869,143.6738194,1.585067429,136.6327475,3,31.66666667,14.78809524,1.5,92.3544,16.8649115,2.447984797,2.212237376,-0.136390371,2.266875,3.59625,5.863125
"20","16soil19S","19S2016","B3","S19",2016,"normal","unwarming",0,1,1,"Cliping",96,50.42862689,0.76,2.34,0.063,0.547,7.79,18.04111138,16.48488686,1.556224528,1030.52729,3,34.5,17.40238095,1.5,92.3544,17.22613358,3.791267026,3.884166102,0.236965722,5.100625,4.355,9.455625
"21","16soil1N","1N2016","B1","N01",2016,"normal","warming",1,1,0,"uncliping",86.7,67.42,15.97,3.32,0.111,1.041,7.45,110.6407944,75.23754336,35.40325106,35.61517114,7,20.66666667,7.888095238,1.5,92.3544,18.74514667,3.461467869,5.561766219,1.893960067,3.531875,2.983125,6.515
"22","16soil1S","1S2016","B1","S01",2016,"normal","warming",1,1,1,"Cliping",54.4,25.7151621,0.84,1.35,0.066,0.499,7.04,224.9716885,167.8703312,57.10135736,53.19148936,8,26.56666667,9.735714286,1.5,92.3544,17.86343612,2.395581001,3.644140329,1.326533438,0.681875,3.425625,4.1075
"23","16soil20N","20N2016","B3","N20",2016,"normal","warming",1,1,0,"uncliping",44.7,28.35,0.86,1.13,0.079,0.704,7.5,177.0310931,166.3406109,10.69048229,129.9722479,2,26.43333333,13.21428571,1.5,92.3544,18.50175726,2.934838437,3.840402113,0.371458832,1.1125,3.745,4.8575
"24","16soil20S","20S2016","B3","S20",2016,"normal","warming",1,1,1,"Cliping",56,29.66037578,0.9,3.93,0.075,0.765,7.54,259.6101971,247.9411646,11.6690325,116.7437558,5,34.03333333,11.8,1.5,92.3544,18.50175726,4.801597363,6.456012708,1.260670761,0.998125,3.68125,4.679375
"25","16soil21N","21N2016","B3","N21",2016,"double","warming",1,2,0,"uncliping",57,30.19089257,1.06,2.25,0.068,0.688,7.46,273.1241369,267.911424,5.212712914,166.0499537,3,27.06666667,12.61666667,1.5,92.3544,18.2180143,3.280406389,5.195721639,1.868969738,2.311875,3.579375,5.89125
"26","16soil21S","21S2016","B3","S21",2016,"double","warming",1,2,1,"Cliping",48.5,28.68551752,2.46,13.35,0.125,1.213,7.67,460.3969329,449.6729832,10.72394971,80.57354302,4,33.8,14.55238095,1.5,92.3544,18.10526486,5.019424475,5.770138283,0.750713808,3.63375,4.605625,8.239375
"27","16soil22N","22N2016","B4","N22",2016,"double","warming",1,2,0,"uncliping",86.9,54.03452527,12.89,11.62,0.167,1.831,7.04,409.9180887,8.326221943,401.5918667,64.10730805,3,26.1,10.55238095,1.5,92.3544,18.41462789,3.41758423,5.272122589,1.806496522,3.558125,4.361875,7.92
"28","16soil22S","22S2016","B4","S22",2016,"double","warming",1,2,1,"Cliping",75.4,45.06421348,7.25,1.85,0.105,1.182,6.77,137.6801493,21.95732114,115.7228281,60.86956522,6,29.93333333,13.09285714,1.5,92.3544,18.23900631,3.72805471,4.86720474,1.139150031,3.006875,3.45375,6.460625
"29","16soil23N","23N2016","B4","N23",2016,"normal","unwarming",0,1,0,"uncliping",84.3,57.59,4.61,2.54,0.086,0.838,6.95,175.1252806,124.6202245,50.50505614,476.0407031,8,26.33333333,12.9547619,1.5,92.3544,17.24038876,3.379746921,4.661011252,1.281264331,0.9975,4.28875,5.28625
"30","16soil23S","23S2016","B4","S23",2016,"normal","unwarming",0,1,1,"Cliping",56.8,27.89647478,0.43,2.39,0.099,0.935,7.55,95.22817752,67.94874069,27.27943684,164.107308,8,31.56666667,15.66428571,1.5,92.3544,17.43121305,4.128900418,4.951564086,0.822663668,1.5275,4.860625,6.388125
"31","16soil24N","24N2016","B4","N24",2016,"half","unwarming",0,0.5,0,"uncliping",54.5,28.47815816,6.01,5.65,0.082,0.744,7.83,222.648155,217.7209568,4.927198242,161.7021277,4,25.1,12.64285714,1.5,92.3544,16.99117403,2.949296479,5.855045969,2.90574949,1.753125,3.13375,4.886875
"32","16soil24S","24S2016","B4","S24",2016,"half","unwarming",0,0.5,1,"Cliping",72.4,45.76438792,1.76,2.24,0.083,0.815,7.59,33.4257388,21.46397714,11.96176166,189.9167438,7,29.56666667,13.54761905,1.5,92.3544,16.99117403,4.297711272,5.67111209,1.373400818,0.61625,3.549375,4.165625
"33","16soil2N","2N2016","B1","N02",2016,"half","warming",1,0.5,0,"uncliping",92.8,47.42056978,20.5,4.9,0.108,1.104,7.03,31.9184944,0.457142857,31.46135154,35.98519889,8,13.2,5.95,1.5,92.3544,19.64591214,2.650821737,4.075644107,1.337954688,1.889375,2.284375,4.17375
"34","16soil2S","2S2016","B1","S02",2016,"half","warming",1,0.5,1,"Cliping",79.6,56.40703943,14.92,1.78,0.088,0.81,7.08,100.7093158,11.40931728,89.29999856,207.400555,7,24.03333333,7.602380953,1.5,92.3544,19.57406222,2.49686516,3.730335726,1.233470566,1.494375,2.3875,3.881875
"35","16soil3N","3N2016","B1","N03",2016,"normal","unwarming",0,1,0,"uncliping",95.7,82.21,0.58,2.88,0.101,0.845,7.56,408.2750734,0.001,408.2740734,91.39685476,8,22.36666667,10.67619048,1.5,92.3544,17.13615215,1.520767571,2.785725708,1.264958137,0.98625,2.205,3.19125
"36","16soil3S","3S2016","B1","S03",2016,"normal","unwarming",0,1,1,"Cliping",107.3,52.22484363,3.25,3.37,0.113,1.05,7.62,404.9792143,307.1762707,97.80294361,58.92691952,10,29.23333333,11.4452381,1.5,92.3544,16.16394631,2.352283323,3.540372889,1.188089567,1.86875,2.794375,4.663125
"37","16soil4N","4N2016","B2","N04",2016,"double","warming",1,2,0,"uncliping",60.2,46.52111492,3.7,2.62,0.117,1.053,7.68,97.70690857,13.3336864,84.37322217,108.4181314,5,24.9,10.26428571,1.5,92.3544,19.04964981,1.985941826,3.484696239,1.498754412,1.534375,2.504375,4.03875
"38","16soil4S","4S2016","B2","S04",2016,"double","warming",1,2,1,"Cliping",64.7,31.31117167,1.66,2.62,0.11,0.984,7.16,257.6701735,216.395381,41.27479246,46.7160037,6,28.13333333,9.992857143,1.5,92.3544,20.10484516,3.073680942,3.604498552,0.530817609,2.28625,2.4475,4.73375
"39","16soil5N","5N2016","B2","N05",2016,"half","warming",1,0.5,0,"uncliping",59,36.19623489,10.71,2.04,0.106,0.907,7.57,94.27507153,1.186388571,93.08868296,174.3755782,8,15.7,6.671428571,1.5,92.3544,20.16284181,2.211502442,2.610322973,0.398820532,0.6475,2.991875,3.639375
"40","16soil5S","5S2016","B2","S05",2016,"half","warming",1,0.5,1,"Cliping",53.3,28.54548263,1.7,1.25,0.057,0.462,7.04,280.9544187,208.0187442,72.93567449,74.46808511,10,22.8,7.557142857,1.5,92.3544,20.57575132,3.182073812,4.43836043,1.256286619,1.29125,2.42625,3.7175
"41","16soil6N","6N2016","B2","N06",2016,"normal","unwarming",0,1,0,"uncliping",60.3,44.51,3.4,2.99,0.075,0.623,7.17,90.81125138,5.414290286,85.3969611,344.5883441,12,17.53333333,8.573809524,1.5,92.3544,17.37960349,2.928629806,3.400727295,0.472097488,1.258125,2.535625,3.79375
"42","16soil6S","6S2016","B2","S06",2016,"normal","unwarming",0,1,1,"Cliping",52.8,34.37847432,1.15,1.96,0.074,0.655,7.36,350.1503871,218.5006232,131.6497639,146.8085106,8,27.63333333,12.37857143,1.5,92.3544,17.4178762,3.717657541,4.538007035,0.820349494,1.920625,2.34,4.260625
"43","16soil7N","7N2016","B1","N07",2016,"double","warming",1,2,0,"uncliping",78.2,41.07860513,4.38,14.54,0.143,1.386,7.87,175.9455091,139.8859104,36.05959867,27.75208141,7,25.5,9.630952381,1.5,92.3544,18.89408516,3.755088111,6.375643923,2.620555811,4.24375,3.805625,8.049375
"44","16soil7S","7S2016","B1","S07",2016,"double","warming",1,2,1,"Cliping",73.8,43.56691737,3.14,2.64,0.091,0.769,7.74,376.4545204,340.3782768,36.07624358,163.5522664,9,33.8,13.26904762,1.5,92.3544,19.53904478,4.098995008,5.996475302,1.897480295,2.7,3.226875,5.926875
"45","16soil8N","8N2016","B1","N08",2016,"half","unwarming",0,0.5,0,"uncliping",84.1,41.68452532,10.57,11.5,0.138,1.236,7.8,65.35071985,0.457142857,64.893577,35.06012951,10,25.33333333,10.41428571,1.5,92.3544,17.82271945,5.065224346,4.779708766,-0.28551558,1.615,2.98125,4.59625
"46","16soil8S","8S2016","B1","S08",2016,"half","unwarming",0,0.5,1,"Cliping",55.3,30.54636574,12.77,7.55,0.1,1.128,7.04,116.9686375,42.05889371,74.90974377,24.88436633,11,29.6,11.52619048,1.5,92.3544,17.79106926,3.166440372,4.772793631,1.923903482,2.123125,2.57125,4.694375
"47","16soil9N","9N2016","B1","N09",2016,"double","unwarming",0,2,0,"uncliping",74.8,39.30123924,6.01,2.21,0.082,0.598,7.09,154.0308803,128.7870909,25.24378946,10.26827012,9,33.66666667,13.75952381,1.5,92.3544,17.41466311,3.580749362,4.816947092,1.076191626,0.499375,4.138125,4.6375
"48","16soil9S","9S2016","B1","S09",2016,"double","unwarming",0,2,1,"Cliping",58.7,34.21150965,2.65,5.72,0.084,0.729,7.14,250.7075746,244.8704678,5.837106813,116.7437558,6,34.96666667,14.8547619,1.5,92.3544,17.27820464,3.594675521,4.729700546,1.135025025,2.14375,3.83,5.97375
"49","17soil10N","10N2017","B2","N10",2017,"normal","warming",1,1,0,"uncliping",133.6,103.1335,0.7335,6.235,0.1285,1.103,6.67,103.9138177,69.73755589,34.17626186,NA,7,12.3,11.33333333,5.7,99.2124,19.52288,2.51061204,3.818161433,-1.307549393,3.202,3.871,7.073
"50","17soil10S","10S2017","B2","S10",2017,"normal","warming",1,1,1,"Cliping",129.4,102.8,0.81,5.215,0.1217,1.063,6.44,175.331,109.5445295,65.78647049,NA,10,13.06666667,11.58787879,5.7,99.2124,19.6315,3.179336229,4.386430719,-1.20709449,1.565,4.706,6.271
"51","17soil11N","11N2017","B2","N11",2017,"half","unwarming",0,0.5,0,"uncliping",94.8,73.2085,2.4135,6.455,0.1475,1.33,6.27,215.4510666,187.4418734,28.00919317,NA,7,10.43333333,12.08484848,5.7,99.2124,18.27837,1.741489294,3.149904106,-1.408414812,3.546,3.838,7.384
"52","17soil11S","11S2017","B2","S11",2017,"half","unwarming",0,0.5,1,"Cliping",138.8,111.5,3.8755,6.815,0.1355,1.172,6.51,324.0028781,166.2805475,157.7223306,NA,9,16.56666667,12.55151515,5.7,99.2124,18.31571,2.515390627,3.938365464,-1.422974837,0.068,4.657,4.725
"53","17soil12N","12N2017","B2","N12",2017,"double","unwarming",0,2,0,"uncliping",133.9,109.096,0.938,6.29,0.1361,1.202,6.42,49.3245155,3.260328229,46.06418727,NA,10,17.03333333,14.31515152,5.7,99.2124,17.60182,3.560309947,4.440302103,-0.879992157,1.395,4.251,5.646
"54","17soil12S","12S2017","B2","S12",2017,"double","unwarming",0,2,1,"Cliping",96.1,76.5,1.211,5.97,0.1126,0.902,6.55,175.226632,129.0409714,46.18566057,NA,8,23.7,18.16969697,5.7,99.2124,17.9141,3.293872017,4.851664693,-1.557792676,-0.582,5.342,4.76
"55","17soil13N","13N2017","B3","N13",2017,"half","unwarming",0,0.5,0,"uncliping",125,99.592,2.2875,5.325,0.1125,0.9737,6.76,101.1011025,10.90945417,90.19164833,NA,12,10.03333333,11.28181818,5.7,99.2124,18.65119,3.127662992,4.437359204,-1.309696213,1.557,6.051,7.608
"56","17soil13S","13S2017","B3","S13",2017,"half","unwarming",0,0.5,1,"Cliping",122.3,94.8,1.627,6.255,0.1385,1.145,6.5,133.3129928,70.90805254,62.40494028,NA,11,18.26666667,13.46060606,5.7,99.2124,18.07209,3.138502716,4.187968737,-1.04946602,2.06,5.143,7.203
"57","17soil14N","14N2017","B3","N14",2017,"double","unwarming",0,2,0,"uncliping",105.5,82.5055,1.709,11.23,0.1509,1.319,6.23,274.2105043,269.7179153,4.492588951,NA,8,23,16.88181818,5.7,99.2124,16.1571,2.806654091,3.51572736,-0.709073269,0.442,6.373,6.815
"58","17soil14S","14S2017","B3","S14",2017,"double","unwarming",0,2,1,"Cliping",120.3,94.8,0.9055,7.05,0.1067,0.8678,6.76,237.0033085,172.4119932,64.59131524,NA,6,27.53333333,18.50606061,5.7,99.2124,18.6237,6.285201658,4.754945489,1.530256169,4.073,5.582,9.655
"59","17soil15N","15N2017","B3","N15",2017,"half","warming",1,0.5,0,"uncliping",144.6,114.8425,1.53,5.545,0.1338,1.181,6.04,267.9081139,242.4172925,25.4908214,NA,3,12.23333333,10.09090909,5.7,99.2124,17.91281,2.194104086,2.916528165,-0.722424079,3.795,4.244,8.039
"60","17soil15S","15S2017","B3","S15",2017,"half","warming",1,0.5,1,"Cliping",134.8,110.5,0.887,7.49,0.1226,1.164,6.55,370.5725814,355.6460634,14.92651802,NA,7,15.73333333,10.71515152,5.7,99.2124,20.61229,3.282064775,3.245630648,0.036434127,2.079,5.783,7.862
"61","17soil16N","16N2017","B4","N16",2017,"normal","warming",1,1,0,"uncliping",135.8,110.131,4.52,25.61,0.1406,1.3411,6.13,256.3090482,234.5634817,21.74556642,NA,7,8.466666667,11.13939394,5.7,99.2124,19.16127,1.26457812,1.36259046,-0.09801234,2.511,5.634,8.145
"62","17soil16S","16S2017","B4","S16",2017,"normal","warming",1,1,1,"Cliping",113.6,95.4,0.982,6.06,0.1033,1.048,6.16,241.656697,203.0793141,38.57738286,NA,9,21.26666667,16.21515152,5.7,99.2124,19.71729,2.680052987,2.633685784,0.046367204,1.541,6.056,7.597
"63","17soil17N","17N2017","B4","N17",2017,"double","unwarming",0,2,0,"uncliping",116.2,98.206,0.6975,7.2,0.1465,1.496,6.1,199.2939667,52.02883117,147.2651355,NA,10,18.96666667,15.86060606,5.7,99.2124,17.91807,5.277413363,5.308278274,-0.030864913,-0.813,6.761,5.948
"64","17soil17S","17S2017","B4","S17",2017,"double","unwarming",0,2,1,"Cliping",155.9,132.5,1.3475,6.315,0.1437,1.576,6.75,260.1946249,157.5582364,102.6363886,NA,11,16.56666667,18.03333333,5.7,99.2124,18.2372,2.888757107,2.90882561,-0.020068503,2.456,5.453,7.909
"65","17soil18N","18N2017","B4","N18",2017,"half","warming",1,0.5,0,"uncliping",108,92.8015,2.52,4.8885,0.1053,0.892,6,54.32027713,25.53609143,28.7841857,NA,8,9.2,8.951515152,5.7,99.2124,19.36374,1.882912592,3.025571018,-1.142658425,2.732,4.341,7.073
"66","17soil18S","18S2017","B4","S18",2017,"half","warming",1,0.5,1,"Cliping",173.2,133.5,2.4265,4.244,0.1562,1.404,6.08,167.115941,120.220944,46.89499698,NA,11,10.8,9.963636364,5.7,99.2124,20.57239,1.713837242,2.322125798,-0.608288556,2.055,4.954,7.009
"67","17soil19N","19N2017","B3","N19",2017,"normal","unwarming",0,1,0,"uncliping",104.7,86.047,0.6065,5.99,0.1219,1.073,6.31,739.3363948,725.5905214,13.74587335,NA,6,18.86666667,17.92121212,5.7,99.2124,17.46732,2.139874469,2.445451947,-0.305577478,2.296,4.991,7.287
"68","17soil19S","19S2017","B3","S19",2017,"normal","unwarming",0,1,1,"Cliping",83.1,61.2,1.0675,7.4,0.1168,0.9365,6.44,35.31426789,30.49702606,4.817241829,NA,5,29.23333333,22.04545455,5.7,99.2124,17.72903,5.486543249,6.109836963,-0.623293714,2.351,6.815,9.166
"69","17soil1N","1N2017","B1","N01",2017,"normal","warming",1,1,0,"uncliping",110.9,72.7585,1.6415,8.19,0.0949,0.7398,6.45,181.8144288,127.4166415,54.39778731,NA,9,15.83333333,10.03333333,5.7,99.2124,18.82442,3.285216654,4.857115428,-1.571898774,4.858,3.805,8.663
